Character,First Name,Gender,Actor(s),Appearances,Rank,Posting,Position,Species
Airiam,Airiam,f,"Sara Mitish, Hannah Cheesman",DSC,Lt. Commander,USS Discovery,Science Officer,Augment
Jonathan Archer,Jonathan,m,Scott Bakula,ENT,Captain,Enterprise NX-01,Commanding Officer,Human
Soji Asha,Soji,f,Isa Briones,STP,Civilian,Romulan Reclamation Site,Anthropologist,Android
Ayala,Ayala,m,Tarik Ergin,VOY,Lieutenant Junior Grade,USS Voyager,"Helmsman, Security Officer, Maquis",Human
Azan,Azan,m,Kurt Wetherill,VOY,Civilian,USS Voyager,,Wysanti
Reginald Barclay,Reginald,m,Dwight Schultz,"TNG, FCT, VOY","Lt. Commander, Lieutenant Junior Grade","Starfleet Command, USS Enterprise-E, USS Enterprise-D","Pathfinder Project, Engineering Officer",Human
Bareil Antos,Bareil,m,Philip Anglim,DS9,Vedek,Bajor resident,Bajoran Religious Leader,Bajoran
Julian Bashir,Julian,m,Alexander Siddig,"DS9, TNG","Lieutenant, Lieutenant Junior Grade",Deep Space 9,Chief Medical Officer,Human
B'Etor,B'Etor,f,Gwynyth Walsh,DS9,Commander,Bird of Prey,First Officer,Klingon
Brad Boimler,Brad,m,Jack Quaid,LD,Ensign,USS Cerritos,,Human
Boothby,Boothby,m,Ray Walston,"TNG, VOY",Civilian,Starfleet Academy,Groundskeeper,Human
The Borg Queen,,f,"Susanna Thompson, Alice Krige","VOY, FCT",Queen,Borg Collective,Leader of Borg Collective,Borg
Phillip Boyce,Phillip,m,John Hoyt,TC,Lt. Commander,USS Enterprise,Chief Medical Officer,Human
Brunt,Brunt,m,Jeffrey Combs,DS9,Civilian,Ferenginar resident,Ferengi Commerce Liquidator,Ferengi
R.A. Bryce,,m,Ronnie Rowe Jr.,DSC,Lieutenant Junior Grade,USS Discovery,Communications Officer,Human
Gabrielle Burnham,Gabrielle,f,Sonja Sohn,DSC,,Section 31,"Intelligence Operative, Astrophysicist",Human
Michael Burnham,Michael,f,Sonequa Martin-Green,DSC,"Commander, Crewman","USS Discovery, USS Shenzhou","Science Officer, Science Specialist, First Officer",Human
Joseph Carey,Joseph,m,Josh Clark,VOY,Lieutenant,USS Voyager,Engineering Officer,Human
Chakotay,Chakotay,m,Robert Beltran,VOY,Commander,USS Voyager,"First Officer, Maquis",Human
Christine Chapel,Christine,f,Majel Barrett,"TOS, TAS, ST:I, ST:V","Commander, Crewman","Starfleet Command, USS Enterprise","Starfleet Command Officer, Medical Officer, Nurse",Human
Pavel Chekov,Pavel,m,"Walter Koenig, Anton Yelchin","TOS, ST:I, ST:II, ST:III, ST:VI, GEN, Reboot","Commander, Lieutenant, Ensign","USS Enterprise-A, USS Reliant, USS Enterprise ","Chief Security Officer, First Officer, Weapons Officer, Navigator ",Human
Chell,Chell,m,Derek McGrath,VOY,Crewman,USS Voyager,"Engineering Officer, Maquis ",Bolian
J. M. Colt,,f,Laurel Goodwin,TC,Yeoman,USS Enterprise,Yeoman,Human
Katrina Cornwell,Katrina,f,Jayne Brook,DSC,Vice Admiral,Starfleet Command,Admiral of Starfleet,Human
Kimara Cretak,Kimara,f,"Adrienne Barbeau, Megan Cole",DS9,Senator,Deep Space 9,Romulan Representative,Romulan
Beverly Crusher,Beverly,f,Gates McFadden,"TNG, GEN,FCT, INS, NEM",Commander,"USS Enterprise-E, USS Enterprise-D, Starfleet Command","Chief Medical Officer, Head of Starfleet Medical",Human
Wesley Crusher,Wesley,m,Wil Wheaton,"TNG, NEM","Lieutenant Junior Grade, Cadet, Ensign, Civilian","USS Titan, Starfleet Academy, USS Enterprise-D","Starfleet Cadet, Helmsman, Engineering Officer",Human
Hugh Culber,Hugh,m,Wilson Cruz,DSC,Lt. Commander,USS Discovery,Chief Medical Officer,Human
